Sno,Customerid,Response,Followup,Channeltype,mail,email,phone,Notes,
381,408,0,1,2,0,1,0,,
382,3704,0,1,1,1,0,0,,
383,1472,0,1,1,1,0,0,,
384,3590,0,1,1,1,0,0,,
385,2800,1,1,3,0,0,1,,
386,126,1,1,3,0,0,1,,
387,2726,0,1,1,1,0,0,,
388,4656,1,1,3,0,0,1,,
389,2277,1,1,2,0,1,0,,
390,254,1,1,3,0,0,1,,
391,3763,0,1,1,1,0,0,,
392,2831,0,1,1,1,0,0,,
393,3752,1,1,3,0,0,1,,
394,1824,0,1,2,0,1,0,,
395,4853,0,1,1,1,0,0,,
396,4300,0,1,2,0,1,0,,
397,1624,0,1,2,0,1,0,,
398,3198,1,1,3,0,0,1,,
399,1073,1,1,2,0,1,0,,
400,4287,0,1,1,1,0,0,,
401,984,0,1,1,1,0,0,,
402,4797,1,1,3,0,0,1,,
403,247,1,1,3,0,0,1,,
404,2604,0,1,1,1,0,0,,
405,3615,0,1,2,0,1,0,,
406,3599,0,1,1,1,0,0,,
407,376,1,1,3,0,0,1,,
408,2154,0,1,2,0,1,0,,
409,4718,1,1,2,0,1,0,,
410,4564,1,1,3,0,0,1,,
411,3069,0,1,1,1,0,0,,
412,1034,0,1,2,0,1,0,,
413,734,1,1,3,0,0,1,,
414,1650,1,1,2,0,1,0,,
415,3898,0,1,1,1,0,0,,
416,890,0,1,1,1,0,0,,
417,2003,0,1,2,0,1,0,,
418,2301,0,1,1,1,0,0,,
419,704,1,1,3,0,0,1,,
420,2369,0,1,1,1,0,0,,
421,3416,0,1,1,1,0,0,,
422,4123,1,1,3,0,0,1,,
423,1000,1,1,2,0,1,0,,
424,3951,1,1,3,0,0,1,,
425,4914,1,1,2,0,1,0,,
426,3843,0,1,1,1,0,0,,
427,4559,0,1,1,1,0,0,,
428,4341,0,1,1,1,0,0,,
429,4757,1,1,3,0,0,1,,
430,578,0,1,1,1,0,0,,
431,215,0,1,1,1,0,0,,
432,353,1,1,3,0,0,1,,
433,1817,0,1,1,1,0,0,,
434,1946,0,1,2,0,1,0,,
435,3680,1,1,2,0,1,0,,
436,4347,0,1,1,1,0,0,,
437,1127,1,1,3,0,0,1,,
438,592,1,1,2,0,1,0,,
439,718,0,1,2,0,1,0,,
440,1461,0,1,1,1,0,0,,
441,4423,0,1,2,0,1,0,,
442,1931,1,1,3,0,0,1,,
443,1338,1,1,2,0,1,0,,
444,2829,0,1,1,1,0,0,,
445,1409,0,1,2,0,1,0,,
446,3540,0,1,1,1,0,0,,
447,2777,0,1,2,0,1,0,,
448,1611,0,1,1,1,0,0,,
449,25,0,1,1,1,0,0,,
450,4590,1,1,2,0,1,0,,
451,29,1,1,3,0,0,1,,
452,2889,1,1,3,0,0,1,,
453,1295,1,1,3,0,0,1,,
454,1891,1,1,3,0,0,1,,
455,3285,0,1,1,1,0,0,,
456,2812,0,1,2,0,1,0,,
457,1483,0,1,1,1,0,0,,
458,298,0,1,2,0,1,0,,
459,700,1,1,3,0,0,1,,
460,4081,1,1,2,0,1,0,,
461,473,1,1,3,0,0,1,,
462,2070,1,1,2,0,1,0,,
463,2072,1,1,3,0,0,1,,
464,4226,0,1,1,1,0,0,,
465,4103,1,1,3,0,0,1,,
466,4908,1,1,3,0,0,1,,
467,332,0,1,1,1,0,0,,
468,4226,0,1,1,1,0,0,,
469,3093,1,1,2,0,1,0,,
470,1905,1,1,3,0,0,1,,
471,3932,0,1,2,0,1,0,,
472,1977,1,1,3,0,0,1,,
473,1215,1,1,2,0,1,0,,
474,3219,1,1,3,0,0,1,,
475,2624,0,1,2,0,1,0,,
476,3371,0,1,1,1,0,0,,
477,744,1,1,2,0,1,0,,
478,46,1,1,2,0,1,0,,
479,430,0,1,1,1,0,0,,
480,2960,1,1,3,0,0,1,,
481,297,1,1,3,0,0,1,,
482,2011,0,1,2,0,1,0,,
483,3421,1,1,2,0,1,0,,
484,3948,0,1,1,1,0,0,,
485,512,0,1,1,1,0,0,,
486,2395,1,1,2,0,1,0,,
487,2760,1,1,2,0,1,0,,
488,3064,0,1,1,1,0,0,,
489,2704,0,1,1,1,0,0,,
490,2854,0,1,1,1,0,0,,
491,1394,1,1,3,0,0,1,,
492,223,1,1,3,0,0,1,,
493,3813,0,1,1,1,0,0,,
494,3398,0,1,1,1,0,0,,
495,4177,0,1,1,1,0,0,,
496,482,0,1,1,1,0,0,,
497,1189,1,1,2,0,1,0,,
498,565,1,1,3,0,0,1,,
499,1100,1,1,2,0,1,0,,
500,1407,1,1,3,0,0,1,,
501,850,0,1,1,1,0,0,,
502,288,1,1,3,0,0,1,,
503,1455,1,1,2,0,1,0,,
504,2335,0,1,2,0,1,0,,
505,4610,0,1,1,1,0,0,,
506,3446,1,1,3,0,0,1,,
507,1541,0,1,1,1,0,0,,
508,3601,1,1,2,0,1,0,,
509,2594,1,1,3,0,0,1,,
510,3965,1,1,3,0,0,1,,
511,1124,1,1,2,0,1,0,,
512,3781,1,1,2,0,1,0,,
513,1516,0,1,1,1,0,0,,
514,1569,0,1,2,0,1,0,,
515,3706,1,1,3,0,0,1,,
516,3670,1,1,2,0,1,0,,
517,788,0,1,1,1,0,0,,
518,4545,0,1,1,1,0,0,,
519,2267,1,1,3,0,0,1,,
520,4150,1,1,3,0,0,1,,
521,4088,0,1,1,1,0,0,,
522,665,1,1,3,0,0,1,,
523,3008,1,1,2,0,1,0,,
524,1522,0,1,1,1,0,0,,
525,1337,1,1,2,0,1,0,,
526,3300,0,1,1,1,0,0,,
527,692,1,1,3,0,0,1,,
528,1688,0,1,1,1,0,0,,
529,1517,1,1,3,0,0,1,,
530,624,1,1,3,0,0,1,,
531,2885,1,1,3,0,0,1,,
532,4332,0,1,1,1,0,0,,
533,4970,1,1,3,0,0,1,,
534,3823,0,1,1,1,0,0,,
535,3601,0,1,1,1,0,0,,
536,2558,1,1,2,0,1,0,,
537,813,1,1,3,0,0,1,,
538,3717,1,1,2,0,1,0,,
539,113,0,1,2,0,1,0,,
540,4826,0,1,2,0,1,0,,
541,1215,0,1,1,1,0,0,,
542,2408,0,1,2,0,1,0,,
543,3916,1,1,3,0,0,1,,
544,4198,1,1,3,0,0,1,,
545,332,0,1,1,1,0,0,,
546,1860,1,1,3,0,0,1,,
547,482,1,1,3,0,0,1,,
548,4124,1,1,3,0,0,1,,
549,4116,0,1,1,1,0,0,,
550,3385,0,1,1,1,0,0,,
551,4984,1,1,2,0,1,0,,
552,1958,1,1,3,0,0,1,,
553,3638,0,1,1,1,0,0,,
554,3965,0,1,2,0,1,0,,
555,278,1,1,3,0,0,1,,
556,1631,0,1,2,0,1,0,,
557,2507,0,1,1,1,0,0,,
558,3430,1,1,2,0,1,0,,
559,2174,1,1,2,0,1,0,,
560,1115,0,1,2,0,1,0,,
561,2492,1,1,3,0,0,1,,
562,3189,1,1,3,0,0,1,,
563,1212,0,1,1,1,0,0,,
564,1562,1,1,3,0,0,1,,
565,1136,0,1,2,0,1,0,,
566,4343,1,1,2,0,1,0,,
567,4428,1,1,3,0,0,1,,
568,982,1,1,3,0,0,1,,
569,3809,0,1,1,1,0,0,,
570,3097,0,1,2,0,1,0,,
571,3485,0,1,1,1,0,0,,
572,4216,1,1,2,0,1,0,,
573,3149,1,1,3,0,0,1,,
574,4729,1,1,3,0,0,1,,
575,1548,0,1,2,0,1,0,,
576,1908,1,1,3,0,0,1,,
577,4203,1,1,2,0,1,0,,
578,1995,0,1,2,0,1,0,,
579,4465,1,1,2,0,1,0,,
580,1728,1,1,2,0,1,0,,
581,45,0,1,1,1,0,0,,
582,4691,0,1,1,1,0,0,,
583,4445,0,1,1,1,0,0,,
584,2998,1,1,3,0,0,1,,
585,164,0,1,2,0,1,0,,
586,4099,0,1,1,1,0,0,,
587,2308,0,1,1,1,0,0,,
588,4333,1,1,2,0,1,0,,
589,1571,0,1,1,1,0,0,,
590,2937,1,1,2,0,1,0,,
591,1329,1,1,3,0,0,1,,
592,4659,1,1,2,0,1,0,,
593,2603,0,1,1,1,0,0,,
594,2204,0,1,1,1,0,0,,
595,4682,0,1,1,1,0,0,,
596,4696,0,1,2,0,1,0,,
597,1731,0,1,2,0,1,0,,
598,4067,1,1,3,0,0,1,,
599,4673,0,1,2,0,1,0,,
600,3149,0,1,1,1,0,0,,
601,2727,0,1,1,1,0,0,,
602,4772,1,1,3,0,0,1,,
603,4835,0,1,2,0,1,0,,
604,2074,0,1,1,1,0,0,,
605,2875,0,1,1,1,0,0,,
606,3537,1,1,3,0,0,1,,
607,4864,1,1,3,0,0,1,,
608,1101,0,1,1,1,0,0,,
609,1750,0,1,1,1,0,0,,
610,2209,0,1,1,1,0,0,,
611,2380,0,1,2,0,1,0,,
612,3442,0,1,2,0,1,0,,
613,4556,1,1,2,0,1,0,,
614,1320,0,1,2,0,1,0,,
615,231,1,1,3,0,0,1,,
616,2076,0,1,2,0,1,0,,
617,537,1,1,3,0,0,1,,
618,1415,0,1,1,1,0,0,,
619,4804,1,1,3,0,0,1,,
620,3679,0,1,1,1,0,0,,
621,3657,1,1,2,0,1,0,,
622,3613,1,1,3,0,0,1,,
623,2039,0,1,1,1,0,0,,
624,2395,0,1,1,1,0,0,,
625,1667,1,1,3,0,0,1,,
626,1292,0,1,1,1,0,0,,
627,1487,1,1,3,0,0,1,,
628,122,1,1,3,0,0,1,,
629,2843,1,1,3,0,0,1,,
630,513,0,1,2,0,1,0,,
631,717,0,1,2,0,1,0,,
632,3793,0,1,2,0,1,0,,
633,411,0,1,1,1,0,0,,
634,2398,1,1,3,0,0,1,,
635,2215,0,1,2,0,1,0,,
636,2959,0,1,1,1,0,0,,
637,3035,1,1,2,0,1,0,,
638,1485,1,1,3,0,0,1,,
639,3687,0,1,1,1,0,0,,
640,539,0,1,2,0,1,0,,
641,2262,1,1,3,0,0,1,,
642,975,0,1,1,1,0,0,,
643,3188,1,1,3,0,0,1,,
644,3962,1,1,3,0,0,1,,
645,3132,1,1,3,0,0,1,,
646,2739,0,1,1,1,0,0,,
647,3279,0,1,1,1,0,0,,
648,2001,1,1,2,0,1,0,,
649,3729,1,1,2,0,1,0,,
650,4047,1,1,3,0,0,1,,
651,3694,0,1,1,1,0,0,,
652,1272,0,1,1,1,0,0,,
653,1720,0,1,1,1,0,0,,
654,2630,0,1,1,1,0,0,,
655,3582,1,1,3,0,0,1,,
656,3456,0,1,2,0,1,0,,
657,1080,1,1,3,0,0,1,,
658,1960,1,1,2,0,1,0,,
659,4561,1,1,2,0,1,0,,
660,3174,0,1,2,0,1,0,,
661,4320,1,1,2,0,1,0,,
662,4556,0,1,1,1,0,0,,
663,3003,1,1,3,0,0,1,,
664,4838,0,1,2,0,1,0,,
665,1802,1,1,3,0,0,1,,
666,39,1,1,3,0,0,1,,
667,1874,0,1,2,0,1,0,,
668,1228,1,1,3,0,0,1,,
669,1773,1,1,3,0,0,1,,
670,4503,0,1,1,1,0,0,,
671,14,0,1,2,0,1,0,,
672,4048,0,1,1,1,0,0,,
673,4787,1,1,2,0,1,0,,
674,4546,0,1,1,1,0,0,,
675,1222,1,1,2,0,1,0,,
676,4281,0,1,2,0,1,0,,
677,3742,1,1,3,0,0,1,,
678,1817,1,1,3,0,0,1,,
679,1267,1,1,3,0,0,1,,
680,4659,0,1,1,1,0,0,,
681,4082,1,1,3,0,0,1,,
682,4020,1,1,3,0,0,1,,
683,2764,0,1,1,1,0,0,,
684,2883,1,1,2,0,1,0,,
685,3410,0,1,2,0,1,0,,
686,1093,0,1,2,0,1,0,,
687,1542,0,1,1,1,0,0,,
688,1638,0,1,2,0,1,0,,
689,514,0,1,1,1,0,0,,
690,4269,1,1,3,0,0,1,,
691,507,1,1,3,0,0,1,,
692,3668,0,1,1,1,0,0,,
693,1654,1,1,3,0,0,1,,
694,3199,0,1,2,0,1,0,,
695,4812,1,1,3,0,0,1,,
696,3948,1,1,2,0,1,0,,
697,4849,0,1,1,1,0,0,,
698,689,0,1,1,1,0,0,,
699,2747,0,1,1,1,0,0,,
700,4023,1,1,3,0,0,1,,
701,4124,1,1,2,0,1,0,,
702,1167,0,1,1,1,0,0,,
703,4806,1,1,2,0,1,0,,
704,4045,0,1,2,0,1,0,,
705,2651,1,1,2,0,1,0,,
706,564,0,1,1,1,0,0,,
707,1846,1,1,2,0,1,0,,
708,2314,1,1,2,0,1,0,,
709,2557,1,1,3,0,0,1,,
710,1086,1,1,3,0,0,1,,
711,2970,1,1,3,0,0,1,,
712,2696,1,1,3,0,0,1,,
713,3019,1,1,2,0,1,0,,
714,4186,0,1,2,0,1,0,,
715,3851,0,1,1,1,0,0,,
716,2640,0,1,1,1,0,0,,
717,4747,1,1,2,0,1,0,,
718,3866,0,1,2,0,1,0,,
719,4359,0,1,1,1,0,0,,
720,704,0,1,1,1,0,0,,
721,471,1,1,3,0,0,1,,
722,528,0,1,1,1,0,0,,
723,269,1,1,3,0,0,1,,
724,3407,1,1,3,0,0,1,,
725,1838,0,1,1,1,0,0,,
726,1159,0,1,1,1,0,0,,
727,2533,0,1,1,1,0,0,,
728,2556,1,1,2,0,1,0,,
729,626,1,1,3,0,0,1,,
730,3100,1,1,3,0,0,1,,
731,1973,1,1,2,0,1,0,,
732,4355,0,1,2,0,1,0,,
733,3729,0,1,1,1,0,0,,
